participant_id,condition,nfc_z,knowledge_z,ai_literacy_z,trust_z,calibration_z,performance,ai_error_detection,miscalibration,retention,transfer,reconstruction,t2_complete,attn_pass,css_01,css_02,css_03,css_04,css_05,css_06,css_07,css_08,css_09,css_10,css_11,css_12,css_13,css_14,css_15,css_16,css_17,css_18,css_19,css_20
10,No AI,-1.1084366677743882,1.774119969654215,0.20901153396278457,0.5473862244074559,-1.2331408161527626,0.224078570882613,,-2.3504992407619016,,,,False,True,4,4,2,2,5,3,2,2,4,3,3,3,4,4,4,2,4,4,2,3
11,No AI,-0.005065654020491302,-0.45231438606708707,-1.5185750020036122,-0.3279079568555324,-0.40576678652021153,1.1861642965771304,,0.17519435384062854,-2.886417640731856,0.5235415272460373,0.054319396894054364,True,True,3,3,4,2,4,3,3,3,3,3,3,4,2,3,3,2,2,4,3,3
12,No AI,-1.0440170710767538,2.1968081268351916,0.374523883707076,1.804168261441125,-1.8922712306880942,1.1118415756593536,,-0.6021368634063975,0.14752762617001092,-1.5472289317392962,0.09670346415253528,True,True,4,4,3,3,3,4,3,3,4,4,4,4,4,3,3,4,3,4,3,3
13,No AI,0.5372520083350922,-0.7962790001590003,2.0167692602359586,0.26284382630953046,-0.21296739847634752,0.28573503090090063,,1.5389395064493856,1.5445531140196271,0.0957105018310426,-0.3328266405286287,True,True,3,3,4,4,2,4,2,3,3,2,4,3,3,3,4,2,3,2,4,3
14,No AI,0.06903032996929222,-0.5679796872125566,-2.3524014138061053,-0.925362541815494,0.6796317387451156,1.7940828040376673,,-0.8287911062008708,1.7485813213844992,-1.1441419169561686,-2.683033463690453,True,True,3,4,3,4,3,3,4,3,4,3,3,3,4,3,3,3,1,4,4,3
15,No AI,-0.47680365525867346,-0.30930250925513286,0.0556288730621683,-0.3744232664256886,1.0968806967661406,0.17589157205877132,,0.12792798481449608,2.0846444846823955,-0.9678732015671835,0.9200715075707988,True,True,5,4,1,1,4,3,2,5,5,3,1,4,5,5,2,4,3,4,1,5
16,No AI,-1.7313442374700254,0.4989595623394951,0.1596759493619412,-1.035112709335645,0.15334291981967405,0.2513213113548293,,-0.4008856659860127,,,,False,True,4,4,3,2,4,5,2,5,5,5,2,5,5,4,3,5,5,5,2,4
17,No AI,-0.615473654919224,-1.027772877927908,-1.0972365049731552,0.9274378047387313,1.2366547006681246,1.1788222919754037,,0.6549067864844903,-0.8173372141221072,-1.3850685507266307,-0.015079624982872547,True,True,3,4,3,4,4,2,3,4,4,2,2,4,5,4,4,4,3,4,4,5
18,No AI,0.9713453402497944,-0.7883015721983327,-0.8853430819594204,1.2818611111534983,1.0912022672613328,0.6322695051462677,,0.2343776613341189,-0.13647342440143898,0.9239873985074033,-1.3284694722651853,True,True,4,3,4,3,3,2,3,2,3,4,3,4,2,3,5,3,3,4,2,3
19,No AI,0.22990072414600182,1.6851248083711898,1.297303856323564,-0.9201400542555916,0.6859430349789275,-0.038181690415029605,,-0.935608862465076,1.111635339030671,-0.565092416694591,2.1701320835946403,True,True,4,3,2,2,3,2,3,3,3,2,3,2,3,3,4,3,3,2,3,3
20,No AI,-0.6430198130365267,0.05459700815944552,0.09609798053188813,-1.3307500070029075,-1.708192950143249,-0.9354789381057538,,-0.3606175941558805,0.41083681870020755,1.2815553972020661,-0.8754919336016783,True,True,4,3,2,3,2,4,4,3,3,3,2,3,4,2,2,3,3,2,3,3
21,No AI,-0.44475188335713306,-0.059110899270134784,-0.5672158653366574,-0.07135095545684839,0.023593604863477086,1.0080659457866137,,-1.407905040410683,,,,False,True,5,4,1,1,4,5,2,5,4,3,2,4,5,4,2,4,4,3,2,3
22,No AI,0.4305189537471999,0.3938404422923486,1.0376075724953224,-1.248955195450308,-0.6078946431787816,-0.3661138027573486,,0.9592426283679933,-0.13501311559279375,-1.5252296346532879,0.9175536269055707,True,True,5,5,3,2,5,4,1,5,3,4,2,4,4,5,2,4,4,4,3,5
23,No AI,0.8382094950176303,-0.1624433471649556,-0.4037575324024523,-0.7813695304130844,0.9828949746955286,-0.9400494335426579,,-0.6120954229700005,,,,False,True,5,2,2,1,4,4,3,4,3,4,2,3,5,4,2,4,5,5,2,4
24,No AI,1.1628858307629188,-0.9169948703100967,1.8429335779377445,-0.5646190891878311,2.3507427126538123,-0.559623431037377,,-0.380462895530574,,,,False,True,5,4,2,1,4,4,2,4,3,4,1,5,4,5,1,4,4,4,2,5
25,No AI,-0.2590284179184447,-0.8905931276225253,-0.14172439741093604,-0.4741707410247881,0.7669958107757573,-0.7092118236587112,,-0.9628953493621791,1.169504073769633,-1.4900966586114073,0.08522900528567787,True,True,3,4,1,1,4,3,1,5,4,5,3,4,4,5,2,3,3,3,3,4
26,No AI,-1.6766080446863596,1.7772598549117433,1.0440703729421965,2.0010643508339183,-0.4738304515113549,-2.2788713391635214,,-1.4479955101501485,-1.151333148121874,1.15856138230346,-0.7467310666092541,True,True,4,2,3,3,2,3,4,2,3,3,3,2,4,3,3,4,2,2,3,2
27,No AI,-1.6795433840921363,-0.20489067855092546,-0.9772046207775876,2.504083045743336,-0.6549991377444153,1.6580418858675439,,-0.030464230407851973,,,,False,True,4,2,3,4,1,3,4,4,3,2,2,2,1,2,4,2,3,3,3,2
28,No AI,-0.4688208566561127,1.4403905946165394,-0.30489363335572794,0.3835356866562019,-2.3237440527440896,0.6511716441728957,,-0.46734642476174626,,,,False,True,4,3,3,3,3,4,2,4,4,3,1,4,4,4,4,4,4,5,1,5
29,No AI,1.9890435088471974,-0.6890382437922601,-0.2601786905290179,-0.7822684917406346,-0.11096386151360096,-0.5384969356565656,,1.022111800080555,0.7308160984298757,0.3712647837595197,2.4031013901918703,True,True,2,2,4,3,3,3,1,2,2,3,2,4,3,3,3,4,1,2,2,2
30,No AI,0.43091522608345034,-2.227062067130966,-0.49744380218513345,1.2644710176048646,1.3692301442215982,-0.9591215251350784,,0.12254442805266216,1.3522313451072916,0.6238620485860882,0.016293344065206772,True,True,2,2,5,3,3,5,3,2,3,2,4,3,4,3,2,3,4,3,3,3
31,No AI,1.3063431083631254,-0.6195820205833128,-0.491276448119922,1.0903266499477215,-0.6369883643807672,0.47559065158943425,,3.024598315942878,-2.041599853510292,0.48192943540479216,2.039398478777599,True,False,5,5,1,2,4,3,1,5,5,5,2,5,5,5,1,5,4,5,1,5
32,No AI,-1.9205124368483648,1.2365793687945266,-1.5347005671551501,-0.4271790342399621,1.3845337213071027,0.36631922071170614,,-0.8498018558550318,,,,False,True,2,3,4,4,2,2,5,3,2,1,4,2,3,2,3,2,3,1,4,2
33,No AI,0.30832681119195327,-0.7374518281232091,-1.3032237244728382,1.2135630334013856,0.7303533817840631,0.7605610496800266,,0.33214202022177775,-0.16976988586970168,-1.2909914712322101,-1.7208895947883756,True,True,4,5,2,2,2,4,1,4,4,3,3,4,4,5,1,4,3,5,2,3
34,No AI,-9.703315085991393e-05,0.2008011160433294,0.5794438113711394,0.38671524575126376,-0.7075709102076273,-0.2982670925949299,,0.9981367201503153,0.4038641571263751,-0.1960788522480118,0.2856665597993594,True,True,3,3,1,3,3,3,1,3,4,4,1,3,3,3,4,4,2,2,3,3
35,No AI,0.11699304416590153,-1.7647975570010186,-0.7075811996197436,-1.3007160958644362,0.3068295555673844,-0.4192523552937157,,1.5012458673363738,0.5861432041896396,-0.9672422968986633,1.0199072223158971,True,True,2,1,4,5,2,3,4,3,3,4,4,3,2,2,4,1,2,1,5,2
36,No AI,0.13463843668482736,-1.804388344132495,-0.735232521854221,-2.4658773137891066,2.895860282518169,-1.0981525247256294,,0.9612349202269606,1.6712652047492451,0.7638412069543093,0.047550423671254394,True,True,4,3,2,3,3,3,3,2,4,2,5,4,3,3,3,3,2,2,3,2
37,No AI,0.7431310965986228,-0.23607395518577196,0.8274687598635001,1.2348608115916775,0.7784856466078364,1.7705577573360973,,0.1200701657610036,-0.6144111700514768,-0.8424139792446808,0.0460066074002963,True,True,4,2,3,2,4,2,4,4,4,5,2,3,4,5,2,5,3,3,3,3
38,No AI,1.779154132709619,0.283231366043639,-0.15179691344629653,0.12779510584229342,-0.1383962663757981,-0.20318959349573326,,-1.0405808800186636,0.04279887582017711,1.1745339293114037,-0.4545957206686522,True,True,2,4,3,3,4,4,3,3,2,3,4,2,2,3,2,3,3,4,4,3
39,No AI,-0.4105474881424006,0.8410710943137483,-1.477135857064924,-0.15456294909993096,1.4636409649857467,0.7978753922283064,,0.08439926479929682,-1.2641080056011427,-1.4992017000474749,0.4456545937320715,True,True,2,1,2,4,2,1,4,3,2,3,5,3,2,2,4,1,1,1,5,3
40,No AI,1.5835652889985568,0.9463110590664704,0.17424022804679165,0.9770460965862345,-0.21308080128647902,-1.9578514386965655,,0.08169020567011558,0.24755572005412751,-0.8905483523826865,1.1775259654760115,True,True,4,4,2,2,4,3,2,4,5,5,1,3,4,3,2,3,4,4,2,3
41,No AI,-0.1990726676413647,-0.9943481835071294,-0.9053435104405719,-0.16862780400083766,-0.5810513118374239,-0.20070916163635888,,-0.10577529621685967,-0.32856580153710735,-1.926607968294975,-1.3520931588963476,True,True,5,3,2,3,3,3,4,3,4,4,3,3,4,4,3,4,3,2,3,3
42,No AI,-0.9599215005115952,1.2721890984418511,0.5754816229740967,-0.2973652074365656,1.1609514538275263,-0.2766323333967174,,-0.2882649064699027,0.29728903694690934,-0.39932153018630423,0.6725944368954277,True,True,3,5,3,2,3,3,3,3,3,4,3,3,3,3,3,3,1,2,4,3
43,No AI,1.2936768789477582,-0.10650086828646164,-1.3315873348843608,-0.3641452986399121,-0.7587550620950528,-1.5018797082295616,,-0.8564768178308229,1.5103517419226353,1.929037148704034,-0.624244122828348,True,True,4,3,1,4,3,2,2,4,3,2,3,3,3,4,3,2,3,4,2,5
44,No AI,-0.1668773496711171,-1.1003545445517564,1.0580246015644685,1.6656440230949514,1.5186043343568723,0.2026725565586467,,-0.2492596817979886,0.6412184263385092,-0.023213402109852822,-0.6333063873025847,True,True,4,4,3,3,3,3,3,2,4,4,3,5,3,4,1,3,4,3,2,4
45,No AI,-1.9486920810431154,0.5114850802322681,-0.39905703211053384,0.9555420431567312,-0.036538312861749696,0.7422444228322275,,-0.6033875640423805,1.0626115003167451,0.5657787305685561,0.44904764863863617,True,True,3,1,5,3,1,2,5,1,1,1,5,2,2,2,4,1,2,2,5,2
46,No AI,1.0445739319055662,1.4815775308048136,0.8820291346154134,0.0710388932057056,0.4316381949863189,2.0015913282602704,,-0.2734918587353847,0.7729916918690001,1.0887099695468412,-0.5509838368582165,True,True,3,3,3,3,4,3,2,3,3,3,3,4,5,4,3,4,3,3,1,3
47,No AI,1.2849898951385297,-1.6371352297441657,0.03934213865298392,-0.7548768511093675,-0.13011760477392428,0.8501929400921555,,0.8413905370624104,,,,False,True,3,3,3,2,3,3,3,3,3,3,4,3,3,4,3,2,3,3,2,4
48,No AI,0.46889386889642576,-2.0737307542843784,-0.9487339111691406,-1.645949491463509,0.8954939108687032,1.057537254297466,,-1.209203098603197,1.7996467718377174,-0.43766735128084133,-0.6984178748988911,True,True,4,4,3,3,4,2,3,3,2,3,2,4,4,3,3,3,4,5,3,3
49,No AI,1.2883013731275161,0.41703555121414787,0.852960638418445,-0.9473393209800114,-1.5615671253815095,-0.0602058574778898,,0.08220958649605545,,,,False,True,4,2,3,3,4,2,2,4,3,3,2,4,5,4,1,4,4,3,2,5
50,No AI,-0.4558257713516238,-0.15237196726438523,0.158140163200656,-0.20264865308438604,-0.14424224169272606,-0.8941583735235878,,-1.0621770564865243,-0.557756404273758,0.6724975231197164,-0.03932538024618146,True,True,3,3,4,4,2,2,4,3,2,3,5,3,4,3,2,3,1,3,4,2
51,No AI,-0.07336226379046612,0.126261354796707,-0.1825555706939993,0.6110534532482798,-3.0990423286158224,0.6734909887214128,,-0.9893347840300182,0.8027820410509173,1.8720132271440244,0.23452561916139536,True,True,3,3,4,3,2,3,2,4,2,3,2,2,3,4,3,4,3,4,4,3
52,No AI,0.6204721825666469,1.0890430391669566,-1.3470480615554266,-1.3860269501571394,0.23314326742338737,-0.3245939035997351,,-0.13450304632238363,0.6351850080042132,-2.3078990402637176,-1.2517809827206683,True,True,3,4,2,4,5,3,4,1,3,4,3,3,2,4,3,4,4,3,3,3
53,No AI,-0.21195639513046508,1.575778712400933,1.558959423510194,0.7096017106658455,0.29879000107111864,-0.39241895768641516,,-1.1275388429274678,0.17417589278068196,-0.45136625277911246,-0.1362026667494818,True,True,2,1,3,5,3,2,3,1,1,3,4,1,1,2,4,1,1,2,5,3
54,No AI,0.9235747225135704,-1.8344907592268345,0.20934424836286833,0.003468063683752866,1.106461717801646,1.0777690009889953,,1.5462566878488981,0.3121255165836107,-0.8871675547538294,1.6587787732822306,True,True,4,3,2,2,3,3,2,5,4,3,2,4,4,4,2,3,2,4,2,5
55,No AI,-1.1248053758915277,1.5172205772502434,-0.11411245299663338,-1.4923993685199857,-0.6166956247445734,-0.3631640223327911,,-0.7113275125523781,0.7626705537206112,0.6112537473049867,-1.5437073323442538,True,True,3,4,1,2,4,4,2,4,4,3,1,5,4,3,2,4,3,2,3,4
56,No AI,0.7513077981752159,1.4211472059740136,-0.8412039342212663,1.5603604807609814,-0.015428572535227838,-0.5956173964229833,,0.6543651037657815,0.2600741854551364,-1.178106163067912,0.6772607195694471,True,True,3,5,2,1,4,4,1,5,4,5,2,4,5,3,2,4,3,4,3,5
57,No AI,-2.7199694995856825,-0.46898792896256636,1.504326304191791,-1.2665461356245475,-0.11213223804411308,0.29405393095537313,,1.3985327579538414,-0.37529876844617516,0.10949064151958246,0.6137274414229819,True,True,1,1,5,5,1,2,4,1,1,2,5,1,1,1,4,1,1,1,5,1
58,No AI,0.30474655394570355,-0.6895917489865266,-0.8865602201906253,-0.6214664681219157,-0.18846808832151837,-0.6447472838214328,,-0.15306053464172392,,,,False,True,3,4,2,2,2,2,2,4,4,3,4,3,3,4,3,4,4,2,1,3
59,No AI,0.20980320859945756,0.4762598738562733,0.1935356320094281,-0.8591338739960277,0.21083093934554903,-0.7994735064938785,,-1.2672490362712052,,,,False,True,4,5,2,3,4,4,2,5,4,4,1,5,5,5,2,4,5,4,1,5
60,No AI,-1.2537611916397415,0.6799734968123435,-1.2599581650590983,1.9879443011113196,-0.40488167075819703,-0.8196101996295353,,0.23871853445015678,0.622548678374973,0.41837193262359074,0.42738740506807416,True,True,3,3,3,5,2,1,4,2,2,2,3,2,3,2,5,2,3,2,4,1
61,No AI,0.7496346014296724,1.9507443980789645,-0.05102372205959376,-0.6035350394061512,0.312081837993146,-0.7371954678422884,,0.015397407551436478,0.03146832166003108,1.837141286351899,-0.1566465225405394,True,True,3,4,3,5,2,3,3,3,1,3,5,2,3,1,3,2,1,3,4,1
62,No AI,-0.8038545659122687,-0.7383747731204576,-0.5815612046715243,0.14603604334883383,0.6322065145717953,1.135677089084028,,0.28944400774763607,3.062556480628026,-0.8900076728179178,0.17137583940117096,True,True,5,4,3,1,5,5,2,4,4,4,2,4,2,4,2,4,4,3,3,2
63,No AI,2.092739537995321,-0.7066296623113236,-0.4412122936154996,1.758544596037382,1.2053868989429637,0.3204971050374124,,-0.0907471493025893,0.8261300732799256,0.7727201471305953,-0.2820488105353989,True,True,3,3,3,3,3,2,2,3,3,4,2,3,5,4,3,5,3,4,2,3
64,No AI,-0.3506926509708863,-0.21151484746840174,-0.349632353365368,-1.4937073334630513,-0.18429507662410322,-1.654135524550904,,0.026071144295749665,0.6373072831941355,0.5908331711429843,1.342467535367654,True,True,2,1,5,5,1,1,5,1,1,1,5,1,1,1,5,1,1,1,3,1
65,No AI,0.7640023740335292,0.541462482134118,-2.201635186345434,1.969962087123842,0.5864019886598155,-1.0265521414648067,,2.424788295384048,,,,False,True,3,4,5,4,2,3,3,3,4,4,3,4,3,2,3,3,3,3,3,4
66,No AI,0.3860232403634235,-0.8885091248673493,-0.9231681967210114,-0.2992211197190045,-0.4968436624294228,1.250727616395276,,-1.4115774399622167,-0.2081354803349501,-0.7785028867274083,0.13449083386837307,True,True,1,3,3,4,3,4,4,4,2,5,4,4,3,4,3,3,4,2,3,3
67,No AI,0.3224932308713049,-1.2510110037258808,0.2648378346331156,-0.008147482954474244,1.1721625503019535,-0.5691982883188269,,0.9488446589311683,1.588345763910242,-2.06765413585039,1.6912154235008583,True,True,3,3,3,3,3,3,3,2,3,2,5,3,3,3,4,2,3,2,4,4
68,No AI,0.4505790138971747,1.1334131766820497,-0.8819705408589381,1.4864740606303082,0.3229688054169436,-1.6319246411517658,,1.1216655075190647,-0.5525290741646363,-0.10452871363736818,0.5964300168618409,True,True,4,3,3,3,4,3,3,4,4,2,2,2,3,3,3,3,3,2,4,4
69,No AI,1.1030398213593784,-0.5013927716405606,1.1539698742706384,-1.1750496689654921,0.7707422148200602,-1.8732519212787975,,-0.48945468370996986,-0.07586551531668916,0.16803013046257162,-0.7273633319378201,True,True,5,3,2,2,5,4,3,4,4,4,2,4,4,5,1,3,5,5,1,5
70,No AI,-2.714409700072189,-1.447581328519735,0.6973016186655104,0.4137834164966691,-0.2855156299503845,-0.3632164257915351,,-1.1630242854758475,,,,False,True,4,5,3,3,3,4,4,4,4,3,2,3,3,5,1,3,4,4,3,3
71,No AI,-1.396397436653993,-1.9000447902373137,0.4367326176675165,1.7484471174029002,-1.0100580220618032,-0.04302172267917962,,-0.643640781269209,-0.7690325741327975,0.6506532695973052,0.3678484481652027,True,True,1,3,2,4,1,3,4,3,3,2,4,1,2,2,3,2,3,1,5,3
72,No AI,0.2595948367000459,-2.2065593652502544,-0.6513657307411809,-0.2646304340072936,1.0257630643647122,1.0287505888734005,,-0.3604260587676831,-0.2433043723850287,-0.5981971335544081,0.6926226048177178,True,True,2,2,3,3,2,2,4,3,4,3,3,2,3,2,5,4,5,1,3,2
73,No AI,-1.7100029802268781,0.12072813253474776,1.2264637045449716,2.5106813357230764,-1.1798534982131035,0.19437753759786713,,-0.5726600967880308,1.13701227046735,-0.16033160899810023,-0.9922913791799272,True,True,1,1,5,5,2,2,3,2,2,3,4,3,2,2,4,2,3,2,5,2
74,No AI,-1.2612457385224665,-1.1428250950752448,0.6149157610728528,-0.03427526599364371,-0.766247643393429,-0.6703419681998769,,0.6473218794552551,0.1952202438158911,-0.4900519568259415,0.35463616672613585,True,True,2,2,2,3,3,4,3,4,3,2,4,2,3,5,2,3,3,2,2,3
75,No AI,0.5140001868011734,1.3071002619357501,0.25276877729203945,-2.232776829184588,-0.7494761119359142,-1.074645988129706,,1.2621702452139454,-0.2636691355746184,0.758507516430939,-1.1496267105640687,True,True,4,4,3,3,3,4,2,4,4,4,3,3,2,4,1,4,4,5,2,4
76,No AI,0.8634633891605451,-0.5574828889811744,-1.3765715030655956,-0.3930066082214479,1.0661099332680206,0.2774116132215124,,1.7276866226038035,-0.3304838055144321,0.3321619586921218,0.6619314150969012,True,True,4,3,3,4,2,4,2,3,3,4,3,4,3,5,3,2,2,4,2,2
77,No AI,0.2357320692783512,-1.3232940723718196,-1.5873413922195942,-0.09187836878123297,-0.5152849829818202,0.7028452538805146,,0.881045052094505,-0.17639795768045707,0.48375590296592264,0.16812430052938557,True,True,3,3,2,1,4,3,2,4,3,3,3,3,3,4,3,4,4,3,3,3
78,No AI,-2.286045027751594,-0.5475027552489047,-0.696676027617348,-0.29368811268322736,-0.9548870912803674,-0.3905557394296174,,-1.09222560490749,-0.6911602650957339,0.9480912209434865,0.2471369755452128,True,False,2,3,5,2,2,3,4,3,2,3,3,2,2,3,3,1,3,2,3,2
79,No AI,-0.044538450365060656,0.6961919778723723,-0.2929668199920021,0.015565327008891981,-1.0220268361765255,-1.7317351048826652,,0.8090431059942269,0.5631549027051078,-0.5771295636398028,-0.29258458599393233,True,True,4,2,4,4,2,3,4,2,3,3,3,2,3,2,5,2,2,2,3,2
80,No AI,0.14359175835697757,-0.06400295380328756,0.13047835805627483,0.8279722004839118,0.26597303155500646,-0.46868943495960097,,-0.14035105434034967,,,,False,True,3,3,3,4,4,2,3,3,3,4,4,4,3,5,4,3,4,2,2,3
81,No AI,-0.4376453486808394,-1.8529374133450927,-0.57002309251233,-0.9656834009648396,0.637813061579996,0.021753034772230954,,-0.8566616337603594,-0.9151657750734277,-0.6894965496995193,-0.6959710679879443,True,True,4,4,2,4,3,3,3,2,4,4,4,4,4,2,2,3,3,4,3,4
82,No AI,-0.22467604202867858,0.7985369313499567,0.07811636344095828,-1.4095501994442032,-1.051256512498403,1.5065736830137972,,1.1193704878163122,-1.5411182519932365,0.008299868610891555,-0.6058334829742632,True,True,4,4,2,2,4,4,1,5,4,3,3,4,5,4,3,5,3,3,1,5
83,No AI,-1.2157481100311363,2.0101149154791482,0.4885922988083392,-0.5752617816072035,-0.572364036391119,-0.7398598745512173,,-0.8389113576659061,0.10495057783252736,1.2709870703457766,0.6996711966066018,True,True,2,3,2,3,2,4,2,2,2,4,3,3,2,2,2,3,2,4,3,2
84,No AI,-0.8017495547911601,-0.835463722521599,-0.9114939500728453,-0.1956927893622156,1.214367284143404,-1.1972552323304233,,-0.3978743461827527,0.22768347167247321,0.0358908124364721,0.623140099742516,True,True,2,2,3,4,3,2,3,2,2,4,4,2,4,3,3,3,1,2,5,2
85,No AI,-1.299333160290337,-1.658376116249186,0.018171122756713533,-0.6892364952481426,-0.36120440123848135,-0.8053328017938433,,-0.40941943924288443,0.6582953226556854,0.815644644536686,-0.831542104943671,True,True,5,3,3,1,4,3,1,4,5,5,1,4,4,5,2,4,4,3,2,4
86,No AI,-0.13973814274858376,-0.8200699984683153,-1.9225171650048354,-2.121094579471711,-0.19152513096564325,0.18092713895010815,,0.5065189621491064,0.14074671576259024,0.2831635331617886,0.20475958875571124,True,False,2,2,3,3,3,3,2,3,3,4,2,2,3,3,3,3,3,3,1,3
87,No AI,-0.49141664981512473,-0.20406335496935274,-0.8214260378458752,-1.957465062428854,-0.17492177201658474,0.7940986925239237,,-0.07329404644227569,-0.034882043803496035,1.6515331833209876,-0.22726587345994295,True,True,2,3,2,3,3,3,5,3,2,4,4,4,3,2,3,4,3,1,3,4
88,No AI,-0.0029362831168917697,-0.5377086450855348,1.4788460595560924,1.3360876940288635,-1.7240064003078222,-1.2105438107693791,,0.7003851410590137,,,,False,True,1,2,3,4,3,3,4,2,3,4,5,2,3,3,4,1,4,3,4,4
89,No AI,0.2583481303171502,0.0618557857872711,1.1343433034762767,1.3925031099924636,0.12511394715304236,-0.7166500603438859,,0.6887098926681634,-1.0843816830094923,0.7138613837142148,1.664899051368135,True,True,3,5,2,3,4,5,3,3,4,2,3,4,3,3,3,4,3,3,2,4
90,Uncalibrated AI,0.69990728625242,0.4218746014554808,1.8274745253851419,-0.02226179342446593,0.2643863787978923,0.2458948059757035,0.4,0.3597299867290691,,,,False,True,2,1,3,3,1,2,4,2,1,3,3,2,3,2,5,2,1,1,3,3
91,Uncalibrated AI,0.18733913841739994,1.2119053287672201,0.033017714360247474,0.37557871198418,-0.25249500363284955,1.7283420125975546,0.8,1.5830161765564563,-0.7611047589308058,-0.4867027360157643,-0.2909389058216381,True,True,3,1,5,4,1,3,4,2,1,1,4,3,1,2,5,3,2,2,3,2
92,Uncalibrated AI,2.6825721599053662,0.25791057917311394,1.2624079494701546,-2.198423151326936,-0.5530905295237875,0.2525175930839269,0.8,-0.896847942239276,-0.625954503501191,-1.8410294208891298,-0.015281222765235358,True,True,5,5,1,3,3,5,1,4,5,4,2,4,5,4,1,5,5,4,2,4
93,Uncalibrated AI,-1.1815530903466547,1.469307156963119,0.37244578898789327,0.5795172081210485,-0.1854491974732791,-0.6125034601737027,0.9,1.3680452899080537,-0.6416129492364546,1.4238659055604501,-1.9247246852363893,True,True,1,2,4,3,3,3,3,3,2,1,3,2,3,2,5,2,2,2,4,2
94,Uncalibrated AI,-0.6329759945604791,-0.5968997760571367,0.3655012958775034,-0.31212459416932953,-0.362678309745013,1.7338752502419148,0.2,-1.3640605427772234,,,,False,True,2,2,5,5,1,3,5,2,2,2,5,3,2,2,5,3,2,1,4,3
95,Uncalibrated AI,-1.4431022806434377,0.16222662397237902,-1.2592058611967454,-1.7664442173506523,-1.1043987198467944,-0.836938367003913,0.4,0.8017053153212761,-0.8477053411393136,0.48090796160854016,0.6223883607810223,True,True,2,1,4,2,3,2,5,1,3,3,4,1,3,1,4,2,1,2,3,3
96,Uncalibrated AI,1.622332124590214,0.8282983230783191,-0.15554294925379228,-0.010362491806013502,1.8981048646147625,1.296197901251199,0.9,0.38634225081232043,2.1192933403926864,-0.609663786407846,-0.6946880877844491,True,True,3,3,3,4,3,1,4,4,2,2,4,3,2,1,3,2,2,2,3,2
